2025-06-27T00:57:51.056Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:57:56.066Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:01.094Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:06.119Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:11.146Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:16.173Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:21.198Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:26.224Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:31.251Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:36.277Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:41.312Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:46.329Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:51.355Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:58:56.383Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:59:01.404Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:59:06.432Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:59:11.463Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:59:16.491Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:59:21.511Z - Temperature: 26.7, Humidity: 68
2025-06-27T00:59:26.538Z - Temperature: 26.7, Humidity: 67
2025-06-27T00:59:31.573Z - Temperature: 26.7, Humidity: 67
2025-06-27T00:59:36.588Z - Temperature: 26.7, Humidity: 67
2025-06-27T00:59:41.615Z - Temperature: 26.7, Humidity: 66
2025-06-27T00:59:46.642Z - Temperature: 26.7, Humidity: 66
2025-06-27T00:59:51.668Z - Temperature: 26.7, Humidity: 66
2025-06-27T00:59:56.688Z - Temperature: 26.7, Humidity: 66
2025-06-27T01:00:01.720Z - Temperature: 26.7, Humidity: 65
2025-06-27T01:00:06.756Z - Temperature: 26.7, Humidity: 65
2025-06-27T01:00:11.778Z - Temperature: 26.7, Humidity: 65
2025-06-27T01:00:16.805Z - Temperature: 26.7, Humidity: 65
2025-06-27T01:00:21.826Z - Temperature: 26.7, Humidity: 65
2025-06-27T01:00:26.855Z - Temperature: 26.7, Humidity: 65
2025-06-27T01:00:32.037Z - Temperature: 26.7, Humidity: 65
2025-06-27T01:00:36.906Z - Temperature: 26.7, Humidity: 65
2025-06-27T01:00:41.972Z - Temperature: 26.7, Humidity: 65
2025-06-27T01:00:46.952Z - Temperature: 26.7, Humidity: 65
2025-06-27T01:00:52.003Z - Temperature: 26.7, Humidity: 66
2025-06-27T01:00:57.006Z - Temperature: 26.7, Humidity: 66
2025-06-27T01:01:02.038Z - Temperature: 26.7, Humidity: 66
2025-06-27T01:01:07.059Z - Temperature: 26.7, Humidity: 66
2025-06-27T01:01:12.082Z - Temperature: 26.7, Humidity: 66
2025-06-27T01:01:17.110Z - Temperature: 26.7, Humidity: 67
2025-06-27T01:01:22.141Z - Temperature: 26.7, Humidity: 67
2025-06-27T01:01:27.167Z - Temperature: 26.7, Humidity: 67
2025-06-27T01:01:32.187Z - Temperature: 26.7, Humidity: 67
2025-06-27T01:01:37.212Z - Temperature: 26.7, Humidity: 67
2025-06-27T01:01:42.284Z - Temperature: 26.7, Humidity: 67
2025-06-27T01:01:47.269Z - Temperature: 26.7, Humidity: 68
2025-06-27T01:01:52.295Z - Temperature: 26.7, Humidity: 68
2025-06-27T01:01:57.322Z - Temperature: 26.7, Humidity: 68
2025-06-27T01:02:02.347Z - Temperature: 26.7, Humidity: 68
2025-06-27T01:02:07.373Z - Temperature: 26.7, Humidity: 68
2025-06-27T01:02:12.396Z - Temperature: 26.7, Humidity: 68
2025-06-27T01:02:17.424Z - Temperature: 26.7, Humidity: 68
2025-06-27T01:02:22.454Z - Temperature: 26.7, Humidity: 68
