03/07/2025 15:56:54 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:56:59 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:57:04 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:57:09 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:57:14 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:57:19 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:57:24 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:57:29 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:57:35 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:57:40 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:57:45 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:57:50 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:57:55 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:00 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:05 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:10 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:15 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:20 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:25 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:30 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:35 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:40 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:45 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:50 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:58:55 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:00 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:05 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:10 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:15 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:20 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:25 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:30 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:35 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:40 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:45 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:50 - Temperature: 26.2, Humidity: 44.0
03/07/2025 15:59:55 - Temperature: 26.2, Humidity: 44.0
03/07/2025 16:00:00 - Temperature: 26.2, Humidity: 44.0
03/07/2025 16:00:05 - Temperature: 26.2, Humidity: 44.0
03/07/2025 16:00:10 - Temperature: 26.2, Humidity: 44.0
03/07/2025 16:00:15 - Temperature: 26.2, Humidity: 44.0
03/07/2025 16:00:20 - Temperature: 26.2, Humidity: 44.0
03/07/2025 16:00:25 - Temperature: 26.2, Humidity: 44.0
04/07/2025 10:29:33 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:29:38 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:29:43 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:29:48 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:29:53 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:29:58 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:30:03 - Temperature: 26.2, Humidity: 47.0
